CNPJ_FUNDO;DT_COMPTC;VL_QUOTA;VL_PATRIM_LIQ
24.571.992/0001-75;04/05/2023;19,84001;1462014037
24.571.992/0001-75;05/05/2023;20,222559;1487711514
24.571.992/0001-75;08/05/2023;20,474939;1504708169
24.571.992/0001-75;09/05/2023;20,561307;1508018010
24.571.992/0001-75;10/05/2023;20,47816;1500768419
24.571.992/0001-75;11/05/2023;20,501772;1500640815
24.571.992/0001-75;12/05/2023;20,608454;1506023265
24.571.992/0001-75;15/05/2023;20,753836;1514447948
24.571.992/0001-75;16/05/2023;20,556963;1482755848
24.571.992/0001-75;17/05/2023;20,717359;1493103169
24.571.992/0001-75;18/05/2023;20,66931;1488244016
24.571.992/0001-75;19/05/2023;20,892321;1503043323
24.571.992/0001-75;22/05/2023;20,713177;1488571068
28.206.220/0001-95;02/05/2023;1,348864;239062995,9
28.206.220/0001-95;03/05/2023;1,349706;239018424,6
28.206.220/0001-95;04/05/2023;1,350105;238663479,8
28.206.220/0001-95;05/05/2023;1,35091;238525531,7
28.206.220/0001-95;08/05/2023;1,351599;238133114,3
28.206.220/0001-95;09/05/2023;1,352121;231554274,9
28.206.220/0001-95;10/05/2023;1,352775;231529839,5
28.206.220/0001-95;11/05/2023;1,353687;231581298,3
28.206.220/0001-95;12/05/2023;1,354485;231472197,7
28.206.220/0001-95;15/05/2023;1,35526;231670465,2
28.206.220/0001-95;16/05/2023;1,356267;232057485,6
28.206.220/0001-95;17/05/2023;1,357205;232209386,9
28.206.220/0001-95;18/05/2023;1,358435;232402429,4
28.206.220/0001-95;19/05/2023;1,359445;228220439
28.206.220/0001-95;22/05/2023;1,360414;228037114,8
29.258.294/0001-38;02/05/2023;1,335730958;785297922,6
29.258.294/0001-38;03/05/2023;1,335239448;783250748,5
29.258.294/0001-38;04/05/2023;1,337038272;784013831,9
29.258.294/0001-38;05/05/2023;1,375664435;806663167,8
29.258.294/0001-38;08/05/2023;1,388100276;813787777,3
29.258.294/0001-38;09/05/2023;1,399077308;820223380
29.258.294/0001-38;10/05/2023;1,399952818;820724150,5
29.258.294/0001-38;11/05/2023;1,409384213;826157271
29.258.294/0001-38;12/05/2023;1,412738646;828118350,1
29.258.294/0001-38;15/05/2023;1,419432802;832038383,3
29.258.294/0001-38;16/05/2023;1,406637101;824537859,1
29.258.294/0001-38;17/05/2023;1,423149613;834217204,9
29.258.294/0001-38;18/05/2023;1,431543705;839127605,7
29.258.294/0001-38;19/05/2023;1,438694627;835791261,7
29.258.294/0001-38;22/05/2023;1,430016157;830752327,2
34.791.108/0001-61;02/05/2023;0,8376788;412851356,1
34.791.108/0001-61;03/05/2023;0,8400594;414024651,5
34.791.108/0001-61;04/05/2023;0,8442354;416082791,6
34.791.108/0001-61;05/05/2023;0,8535999;420698108,1
34.791.108/0001-61;08/05/2023;0,8515421;419683885,5
34.791.108/0001-61;09/05/2023;0,8528543;420330637,1
34.791.108/0001-61;10/05/2023;0,8551634;421468676,9
34.791.108/0001-61;11/05/2023;0,8673587;427479126,2
34.791.108/0001-61;12/05/2023;0,8708293;429189635,1
34.791.108/0001-61;15/05/2023;0,8694085;428489369,4
34.791.108/0001-61;16/05/2023;0,8619129;424795149,2
34.791.108/0001-61;17/05/2023;0,866512;427061861,9
34.791.108/0001-61;18/05/2023;0,8729611;430240304,2
34.791.108/0001-61;19/05/2023;0,8775432;432498595,3
34.791.108/0001-61;22/05/2023;0,8757258;431602861,2
35.002.482/0001-01;02/05/2023;115,0959882;215484363,7
35.002.482/0001-01;03/05/2023;114,9088355;211790090,8
35.002.482/0001-01;04/05/2023;114,7801704;211506733,6
35.002.482/0001-01;05/05/2023;116,4050169;214348846
35.002.482/0001-01;08/05/2023;116,4001798;214276160,4
35.002.482/0001-01;09/05/2023;116,3950942;213755187,1
35.002.482/0001-01;10/05/2023;117,4497883;215549891,5
35.002.482/0001-01;11/05/2023;117,3339955;215283828,2
35.002.482/0001-01;12/05/2023;117,0457098;214643106,2
35.002.482/0001-01;15/05/2023;118,1098499;216538802,9
35.002.482/0001-01;16/05/2023;117,6124413;215414389,3
35.002.482/0001-01;17/05/2023;119,1495143;218237241,3
35.002.482/0001-01;18/05/2023;119,1446686;218020752,1
35.002.482/0001-01;19/05/2023;121,0614621;221353529,2
35.002.482/0001-01;22/05/2023;121,9159761;222747488,7
35.292.588/0001-89;02/05/2023;1,229294627;5800393020
35.292.588/0001-89;03/05/2023;1,231420702;5810424848
35.292.588/0001-89;04/05/2023;1,234081264;5822124366
35.292.588/0001-89;05/05/2023;1,235498559;5825309542
35.292.588/0001-89;08/05/2023;1,235122508;5817444773
35.292.588/0001-89;09/05/2023;1,234687297;5808838910
35.292.588/0001-89;10/05/2023;1,236633709;5822464579
35.292.588/0001-89;11/05/2023;1,239200914;5837526066
35.292.588/0001-89;12/05/2023;1,241478331;5853254335
35.292.588/0001-89;15/05/2023;1,243915034;5888742768
35.292.588/0001-89;16/05/2023;1,242916609;5884080561
35.292.588/0001-89;17/05/2023;1,24291819;5884553762
35.292.588/0001-89;18/05/2023;1,24324344;5934002416
35.292.588/0001-89;19/05/2023;1,243782954;5941527064
35.292.588/0001-89;22/05/2023;1,243378366;5934688250
37.308.394/0001-50;02/05/2023;1,1598433;292870247
37.308.394/0001-50;03/05/2023;1,1491103;290103057,6
37.308.394/0001-50;04/05/2023;1,1424119;288411978
37.308.394/0001-50;05/05/2023;1,1322279;285839928,6
37.308.394/0001-50;08/05/2023;1,1619456;293342402,1
37.308.394/0001-50;09/05/2023;1,1494801;290195402,8
37.308.394/0001-50;10/05/2023;1,1506623;290363615,5
37.308.394/0001-50;11/05/2023;1,1422744;288184646,4
37.308.394/0001-50;12/05/2023;1,1414289;287971338,1
37.308.394/0001-50;15/05/2023;1,1359594;286572738,4
37.308.394/0001-50;16/05/2023;1,1453964;288953458,9
37.308.394/0001-50;17/05/2023;1,1447517;288790803,1
37.308.394/0001-50;18/05/2023;1,1585612;292274595
37.308.394/0001-50;19/05/2023;1,1790919;297445723,8
37.308.394/0001-50;22/05/2023;1,1677115;294574823
38.001.966/0001-16;02/05/2023;0,7014813;59442153,83
38.001.966/0001-16;03/05/2023;0,6866975;58189397,79
38.001.966/0001-16;04/05/2023;0,6868122;58196771,23
38.001.966/0001-16;05/05/2023;0,679026;57537515,76
38.001.966/0001-16;08/05/2023;0,6876199;58265720,49
38.001.966/0001-16;09/05/2023;0,6942909;58829198,56
38.001.966/0001-16;10/05/2023;0,6849844;58024720,18
38.001.966/0001-16;11/05/2023;0,6877374;58258928,63
38.001.966/0001-16;12/05/2023;0,6871033;58205212,87
38.001.966/0001-16;15/05/2023;0,6837341;57919805,01
38.001.966/0001-16;16/05/2023;0,6932918;58707527,81
38.001.966/0001-16;17/05/2023;0,6859709;58087597,13
38.001.966/0001-16;18/05/2023;0,6966417;58991197,57
38.001.966/0001-16;19/05/2023;0,7059518;59779567,05
38.001.966/0001-16;22/05/2023;0,6994133;59225894,61
40.190.534/0001-42;02/05/2023;0,9594597;7472244,59
40.190.534/0001-42;03/05/2023;0,9533962;7425021,64
40.190.534/0001-42;04/05/2023;0,9369013;7296560,15
40.190.534/0001-42;05/05/2023;0,9436692;7349268,53
40.190.534/0001-42;08/05/2023;0,9566028;7449994,86
40.190.534/0001-42;09/05/2023;0,952908;7421219,84
40.190.534/0001-42;10/05/2023;0,952422;7417435,06
40.190.534/0001-42;11/05/2023;0,9460313;7367664,68
40.190.534/0001-42;12/05/2023;0,93973;7318590,31
40.190.534/0001-42;15/05/2023;0,9344065;7277130,66
40.190.534/0001-42;16/05/2023;0,9443132;7354284,04
40.190.534/0001-42;17/05/2023;0,9516302;7411268,76
40.190.534/0001-42;18/05/2023;0,9612295;7486027,38
40.190.534/0001-42;19/05/2023;0,9628932;7498984,73
40.190.534/0001-42;22/05/2023;0,9514263;7409680,29
42.813.674/0001-55;02/05/2023;1,0163181;128098436,1
42.813.674/0001-55;03/05/2023;1,0135635;127751243
42.813.674/0001-55;04/05/2023;1,0154194;127985173,4
42.813.674/0001-55;05/05/2023;1,0234827;129001479,2
42.813.674/0001-55;08/05/2023;1,0262192;129346393,6
42.813.674/0001-55;09/05/2023;1,030785;129921870,6
42.813.674/0001-55;10/05/2023;1,03215;130093921,5
42.813.674/0001-55;11/05/2023;1,0352659;130486655,3
42.813.674/0001-55;12/05/2023;1,0357031;130541757,5
42.813.674/0001-55;15/05/2023;1,037663;130788791,2
42.813.674/0001-55;16/05/2023;1,0340526;130333725
42.813.674/0001-55;17/05/2023;1,0397718;131054581,1
42.813.674/0001-55;18/05/2023;1,0443926;131636994,1
42.813.674/0001-55;19/05/2023;1,0456723;131798294,3
42.813.674/0001-55;22/05/2023;1,0439969;131587127,7
46.134.096/0001-81;02/05/2023;1,075895814;697303561,3
46.134.096/0001-81;03/05/2023;1,079108754;699385913,9
46.134.096/0001-81;04/05/2023;1,082779643;702150070
46.134.096/0001-81;05/05/2023;1,085203599;704853208,7
46.134.096/0001-81;08/05/2023;1,085731524;715967229,6
46.134.096/0001-81;09/05/2023;1,085474537;717231763,9
46.134.096/0001-81;10/05/2023;1,086254006;718029993,2
46.134.096/0001-81;11/05/2023;1,088117158;720118031,1
46.134.096/0001-81;12/05/2023;1,090292167;721557456,7
46.134.096/0001-81;15/05/2023;1,093021065;703675928,3
46.134.096/0001-81;16/05/2023;1,091214813;762674222,2
46.134.096/0001-81;17/05/2023;1,089439401;774887660,5
46.134.096/0001-81;18/05/2023;1,08908221;791618330,2
46.134.096/0001-81;19/05/2023;1,08853317;829498013,7
46.134.096/0001-81;22/05/2023;1,086312054;862911651,7
63.375.216/0001-51;02/05/2023;134,969535;63169119,87
63.375.216/0001-51;03/05/2023;134,699533;63043163,84
63.375.216/0001-51;04/05/2023;135,044063;63194488,9
63.375.216/0001-51;05/05/2023;138,832996;64967537,3
63.375.216/0001-51;08/05/2023;139,6681;65168408,2
63.375.216/0001-51;09/05/2023;140,551045;65530436,1
63.375.216/0001-51;10/05/2023;140,500624;65503300,22
63.375.216/0001-51;11/05/2023;141,376608;65865267,9
63.375.216/0001-51;12/05/2023;141,684327;66008629,81
63.375.216/0001-51;15/05/2023;141,657213;65997502,74
